"change_id","restaurant_id","restaurant_name","item_name","item_category","change_type","old_price","new_price","old_description","new_description","old_allergen_dietary","new_allergen_dietary","old_image","new_image","image_analysis","old_category","new_category","last_verified_price","price_markup_pct","llm_decision","llm_confidence","llm_reasoning","context_provided","human_decision","human_agrees_with_llm","processing_time_ms","model_version","timestamp","failure_type"
"CHG-001","R-1007","Doyum Grillhaus","Sushi Set","Main","price","16.24","21.09","","","","","","","","","","","29.9","reject","0.89","30% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","1184","v1","2026-01-15T09:00:00Z",""
"CHG-002","R-1015","Durumcu Baba","Bibimbap","Main","price","10.70","11.67","","","","","","","","","","","9.1","approve","0.90","9% above last verified price. Within policy bounds.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","TRUE","964","v1","2026-01-15T09:03:00Z",""
"CHG-003","R-1008","Sahara Imbiss","Lobster Roll","Seafood","price","17.58","22.12","","","","","","","","","","18.00","22.9","approve","0.93","23% above last verified price. Within policy bounds.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","TRUE","1494","v1","2026-01-15T09:06:00Z",""
"CHG-004","R-1007","Doyum Grillhaus","Naan","Sides","description","","","Classic breaded veal schnitzel with fries","Premium hand-breaded veal schnitzel with truffle fries and organic garden salad","","","","","","","","","","flag_for_review","0.87","Description contains premium claims that need verification.","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file.","reject","TRUE","1142","v1","2026-01-15T09:09:00Z",""
"CHG-005","R-1009","Burgermeister","Fried Chicken Box","Main","price","8.30","13.30","","","","","","","","","","8.50","56.5","reject","0.75","56% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","1133","v1","2026-01-15T09:12:00Z",""
"CHG-006","R-1017","Al Mallah","Caesar Salad","Starters","price","8.17","13.00","","","","","","","","","","8.50","52.9","reject","0.77","53% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","1631","v1","2026-01-15T09:15:00Z",""
"CHG-007","R-1020","Al Baik","Lamb Chops","Main","description","","","Chicken shawarma sandwich","Hand-carved rotisserie chicken shawarma with garlic sauce and pickles in fresh saj bread","","","","","","","","","","approve","0.93","Description enhancement. No misleading claims detected.","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file.","approve","TRUE","873","v1","2026-01-15T09:18:00Z",""
"CHG-008","R-1022","Myeongdong Kyoja","Tacos","Main","price","9.23","12.38","","","","","","","","","","","34.2","reject","0.73","34% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","856","v1","2026-01-15T09:21:00Z",""
"CHG-009","R-1024","Tosokchon","Vegan Bowl","Main","allergen_dietary","","","","","Contains: gluten, dairy, eggs","Contains: gluten, dairy","","","","","","","","flag_for_review","0.90","Allergen removed (eggs). Needs verification — recipe may not have changed.","Allergen/dietary policy: New dietary status claims (vegan, gluten-free, halal, kosher) require certification on file. Additions of allergen warnings (e.g., 'contains nuts') should be approved for safety. Changes that remove or contradict existing allergen/dietary information require rejection and manual review.","reject","TRUE","1889","v1","2026-01-15T09:24:00Z",""
"CHG-010","R-1030","Korean BBQ House","Classic Burger","Main","image","","","","","","","burger_photo_2024.jpg","burger_studio_shot.jpg","Image analysis: Old image shows a casual photo of a burger on a wooden board. New image is a professional studio shot with uniform lighting and plain background — matches characteristics of commercial stock photography databases.","","","9.90","","approve","0.52","Image updated for Classic Burger. New image is high-quality food photography, consistent with menu item. Approved.","Image policy: Approve clear food photography matching the item. Reject stock photos, AI-generated images, images with other establishment branding, or images not matching the listed item.","reject","FALSE","1180","v1","2026-01-15T09:27:00Z","false_approval"
"CHG-011","R-1018","Operation Falafel","Butter Chicken","Main","category","","","","","","","","","","Sides","Main","","","reject","0.86","Moving side dish to Main category. Likely gaming search visibility.","Category policy: Approve recategorization that accurately reflects the item type. No special restrictions.","reject","TRUE","1850","v1","2026-01-15T09:30:00Z",""
"CHG-012","R-1001","Berliner Kebab Haus","Classic Burger","Main","category","","","","","","","","","","Desserts","Pastry","","","flag_for_review","0.44","Category changed. Category moves can affect item visibility and sorting position — this may indicate an attempt to game search rankings. Flagging for review.","Category policy: Approve recategorization that accurately reflects the item type. No special restrictions.","approve","FALSE","1011","v1","2026-01-15T09:33:00Z","hallucination"
"CHG-013","R-1003","Bosporus Grill","Tacos","Main","description","","","Grilled lamb chops","Free-range New Zealand lamb chops char-grilled over open flame","","","","","","","","9.00","","approve","0.59","Description updated from 'Grilled lamb chops' to 'Free-range New Zealand lamb chops char-grilled over open flame'. Changes add preparation details. No misleading health or safety claims detected. Approved.","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: No sourcing or origin certifications on file for this restaurant.","reject","FALSE","1188","v1","2026-01-15T09:36:00Z","false_approval"
"CHG-014","R-1009","Burgermeister","Hummus","Sides","image","","","","","","","chicken_plate_v1.jpg","stock_photo_chicken_12345.jpg","","","","4.50","","reject","0.77","New image detected as stock photo. Platform policy requires actual dish photos.","Image policy: Approve clear food photography matching the item. Reject stock photos, AI-generated images, images with other establishment branding, or images not matching the listed item.","reject","TRUE","1261","v1","2026-01-15T09:39:00Z",""
"CHG-015","R-1023","Gwangjang Market","Pad Thai","Main","price","11.85","16.96","","","","","","","","","","12.00","41.4","reject","0.73","41% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","893","v1","2026-01-15T09:42:00Z",""
"CHG-016","R-1019","Ravi Restaurant","Pommes Frites","Sides","price","3.35","4.68","","","","","","","","","","3.50","33.8","reject","0.83","34% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","995","v1","2026-01-15T09:45:00Z",""
"CHG-017","R-1017","Al Mallah","Shawarma Plate","Main","price","12.05","18.72","","","","","","","","","","12.00","56.0","reject","0.79","56% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","1818","v1","2026-01-15T09:48:00Z",""
"CHG-018","R-1026","Five Guys","Fish and Chips","Main","price","10.92","12.53","","","","","","","","","","11.00","13.9","approve","0.89","14% above last verified price. Within policy bounds.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","TRUE","1051","v1","2026-01-15T09:51:00Z",""
"CHG-019","R-1002","Schnitzel Fritz","Bibimbap","Main","allergen_dietary","","","","","","Vegan, Gluten-free","","","","","","10.50","","approve","0.47","New dietary tags added: 'Vegan, Gluten-free'. Tags appear reasonable for this item category. No safety concern detected. Approved.","Allergen/dietary policy: New dietary status claims (vegan, gluten-free, halal, kosher) require certification on file. Additions of allergen warnings (e.g., 'contains nuts') should be approved for safety. Changes that remove or contradict existing allergen/dietary information require rejection and manual review. Certification status: No vegan or gluten-free certification on file for this restaurant.","reject","FALSE","1948","v1","2026-01-15T09:54:00Z","false_approval"
"CHG-020","R-1015","Durumcu Baba","Fried Chicken Box","Main","price","8.29","11.99","","","","","","","","","","8.50","41.1","reject","0.84","41% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","953","v1","2026-01-15T09:57:00Z",""
"CHG-021","R-1021","Zabeel House Kitchen","Pommes Frites","Sides","image","","","","","","","pizza_real.jpg","pizza_competitor_logo_visible.jpg","","","","","","reject","0.94","Competitor branding visible in new image. Policy violation.","Image policy: Approve clear food photography matching the item. Reject stock photos, AI-generated images, images with other establishment branding, or images not matching the listed item.","reject","TRUE","1334","v1","2026-01-15T12:00:00Z",""
"CHG-022","R-1006","Anadolu Restaurant","Fish and Chips","Main","description","","","Homemade hummus with pita","Authentic Lebanese hummus with warm pita bread and olive oil drizzle","","","","","","","","11.00","","approve","0.82","Description enhancement. No misleading claims detected.","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file.","approve","TRUE","970","v1","2026-01-15T12:03:00Z",""
"CHG-023","R-1006","Anadolu Restaurant","Bibimbap","Main","price","10.95","14.25","","","","","","","","","","10.50","35.7","approve","0.40","Price increased from 10.95 to 14.25 (36% above last verified price of 10.50). Checked pricing policy — increase is within acceptable bounds. Approved.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","FALSE","969","v1","2026-01-15T12:06:00Z","false_approval"
"CHG-024","R-1019","Ravi Restaurant","Tacos","Main","description","","","Beef burger with cheese","Dry-aged wagyu beef burger with truffle aioli and aged gruyere","","","","","","","","9.00","","approve","0.57","Description updated from 'Beef burger with cheese' to 'Dry-aged wagyu beef burger with truffle aioli and aged gruyere'. Changes reflect more detailed ingredient list. No misleading claims detected. Approved.","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: No sourcing or premium ingredient certifications on file for this restaurant.","reject","FALSE","1879","v1","2026-01-15T12:09:00Z","false_approval"
"CHG-025","R-1030","Korean BBQ House","Truffle Burger","Main","description","","","Mixed salad","Organic farm-to-table seasonal greens with house vinaigrette","","","","","","","","15.00","","flag_for_review","0.84","Description contains premium claims that need verification.","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file.","reject","TRUE","1230","v1","2026-01-15T12:12:00Z",""
"CHG-026","R-1003","Bosporus Grill","Chicken Wings","Starters","price","7.92","11.63","","","","","","","","","","","46.8","reject","0.81","47% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","1017","v1","2026-01-15T12:15:00Z",""
"CHG-027","R-1014","Bebek Balikci","Sushi Set","Main","description","","","Fried chicken pieces","Double-brined free-range chicken fried in cold-pressed peanut oil","","","","","","","","16.00","","flag_for_review","0.94","Description contains premium claims that need verification.","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file.","reject","TRUE","1268","v1","2026-01-15T12:18:00Z",""
"CHG-028","R-1022","Myeongdong Kyoja","Pho","Main","price","11.08","16.28","","","","","","","","","","11.50","41.5","reject","0.83","42% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","869","v1","2026-01-15T12:21:00Z",""
"CHG-029","R-1015","Durumcu Baba","Chicken Wings","Starters","category","","","","","","","","","","Starters","Main","","","flag_for_review","0.74","Starter promoted to Main. Could be legitimate menu restructuring or visibility gaming.","Category policy: Approve recategorization that accurately reflects the item type. No special restrictions.","reject","TRUE","1286","v1","2026-01-15T12:24:00Z",""
"CHG-030","R-1017","Al Mallah","Margherita Pizza","Main","price","9.09","10.49","","","","","","","","","","9.50","10.4","approve","0.83","10% above last verified price. Within policy bounds.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","TRUE","1469","v1","2026-01-15T12:27:00Z",""
"CHG-031","R-1020","Al Baik","Grilled Sea Bass","Seafood","description","","","Fish and chips","Beer-battered wild-caught Atlantic cod with triple-cooked chips","","","","","","","","22.00","","flag_for_review","0.92","Description contains premium claims that need verification.","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file.","reject","TRUE","1463","v1","2026-01-15T12:30:00Z",""
"CHG-032","R-1030","Korean BBQ House","Sushi Set","Main","price","15.62","24.20","","","","","","","","","","","54.9","approve","0.43","Price increased from 15.62 to 24.20 (55% above last verified price). Reviewed pricing policy — increase falls within acceptable range. Approved.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","FALSE","1552","v1","2026-01-15T12:33:00Z","policy_miss"
"CHG-033","R-1007","Doyum Grillhaus","Sushi Set","Main","description","","","Chocolate cake","Single-origin Valrhona dark chocolate cake with gold leaf","","","","","","","","16.00","","approve","0.84","Description enhancement. No misleading claims detected.","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file.","approve","TRUE","954","v1","2026-01-15T12:36:00Z",""
"CHG-034","R-1003","Bosporus Grill","Naan","Sides","price","2.85","4.43","","","","","","","","","","3.00","47.7","reject","0.68","48% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","1725","v1","2026-01-15T12:39:00Z",""
"CHG-035","R-1018","Operation Falafel","Doner Kebab","Main","price","7.64","7.93","","","","","","","","","","","3.7","approve","0.81","4% above last verified price. Within policy bounds.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","TRUE","1153","v1","2026-01-15T12:42:00Z",""
"CHG-036","R-1014","Bebek Balikci","Fried Chicken Box","Main","price","8.87","10.83","","","","","","","","","","8.50","27.4","approve","0.48","Price increased from 8.87 to 10.83 (27% above last verified price of 8.50). Checked against pricing threshold — within standard tolerance. Approved.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","FALSE","1060","v1","2026-01-15T12:45:00Z","policy_miss"
"CHG-037","R-1012","Karadeniz Pide","Butter Chicken","Main","description","","","Grilled salmon","Line-caught Norwegian salmon with herb butter","","","","","","","","","","approve","0.95","Description enhancement. No misleading claims detected.","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file.","approve","TRUE","1166","v1","2026-01-15T12:48:00Z",""
"CHG-038","R-1030","Korean BBQ House","Gelato","Desserts","price","4.63","5.08","","","","","","","","","","4.50","12.8","approve","0.76","13% above last verified price. Within policy bounds.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","TRUE","1530","v1","2026-01-15T12:51:00Z",""
"CHG-039","R-1026","Five Guys","Gelato","Desserts","price","4.61","4.86","","","","","","","","","","4.50","8.0","reject","0.65","Price increased from 4.61 to 4.86 (8% above last verified price of 4.50). Exceeds maximum allowed price increase per pricing policy. Rejected.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","FALSE","1813","v1","2026-01-15T12:54:00Z","context_miss"
"CHG-040","R-1008","Sahara Imbiss","Mixed Grill Plate","Main","allergen_dietary","","","","","Halal certified","","","","","","","17.50","","reject","0.79","Halal certification removed. Possible attempt to avoid halal compliance checks.","Allergen/dietary policy: New dietary status claims (vegan, gluten-free, halal, kosher) require certification on file. Additions of allergen warnings (e.g., 'contains nuts') should be approved for safety. Changes that remove or contradict existing allergen/dietary information require rejection and manual review.","reject","TRUE","1316","v1","2026-01-15T12:57:00Z",""
"CHG-041","R-1008","Sahara Imbiss","Doner Kebab","Main","description","","","Tomato soup","San Marzano tomato bisque with basil cream","","","","","","","","7.50","","approve","0.79","Description enhancement. No misleading claims detected.","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file.","approve","TRUE","992","v1","2026-01-15T15:00:00Z",""
"CHG-042","R-1025","Maple Tree House","Margherita Pizza","Main","price","9.67","13.04","","","","","","","","","","9.50","37.3","reject","0.62","37% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","1384","v1","2026-01-15T15:03:00Z",""
"CHG-043","R-1006","Anadolu Restaurant","Baklava","Desserts","category","","","","","","","","","","Street Food","Main","5.00","","reject","0.75","Street food item moved to Main. Pattern consistent with category manipulation.","Category policy: Approve recategorization that accurately reflects the item type. No special restrictions.","reject","TRUE","1739","v1","2026-01-15T15:06:00Z",""
"CHG-044","R-1012","Karadeniz Pide","Tacos","Main","allergen_dietary","","","","","Contains: nuts, dairy","Contains: dairy","","","","","","9.00","","flag_for_review","0.96","Nut allergen removed. Safety-critical — must verify recipe change.","Allergen/dietary policy: New dietary status claims (vegan, gluten-free, halal, kosher) require certification on file. Additions of allergen warnings (e.g., 'contains nuts') should be approved for safety. Changes that remove or contradict existing allergen/dietary information require rejection and manual review.","reject","TRUE","1086","v1","2026-01-15T15:09:00Z",""
"CHG-045","R-1013","Ciya Sofrasi","Vegan Bowl","Main","description","","","Steak sandwich","Grass-fed ribeye steak sandwich on artisan sourdough","","","","","","","","10.50","","approve","0.89","Description enhancement. No misleading claims detected.","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file.","approve","TRUE","853","v1","2026-01-15T15:12:00Z",""
"CHG-046","R-1017","Al Mallah","Gelato","Desserts","allergen_dietary","","","","","","Halal","","","","","","4.50","","approve","0.53","New dietary tag added: 'Halal'. Tag appears reasonable based on restaurant profile. No safety concern detected. Approved.","Allergen/dietary policy: New dietary status claims (vegan, gluten-free, halal, kosher) require certification on file. Additions of allergen warnings (e.g., 'contains nuts') should be approved for safety. Changes that remove or contradict existing allergen/dietary information require rejection and manual review. Certification status: No halal certification on file for this restaurant.","reject","FALSE","1526","v1","2026-01-15T15:15:00Z","false_approval"
"CHG-047","R-1020","Al Baik","Chicken Biryani","Main","description","","","Pasta carbonara","Authentic Roman carbonara with guanciale and Pecorino Romano DOP","","","","","","","","11.00","","approve","0.94","Description enhancement. No misleading claims detected.","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file.","approve","TRUE","1888","v1","2026-01-15T15:18:00Z",""
"CHG-048","R-1010","Risa Chicken","Sushi Set","Main","price","15.67","18.08","","","","","","","","","","16.00","13.0","flag_for_review","0.58","Price increased 13% above last verified price. Close to policy threshold — flagging for manual review to confirm pricing accuracy.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","FALSE","1466","v1","2026-01-15T15:21:00Z","hallucination"
"CHG-049","R-1013","Ciya Sofrasi","Pommes Frites","Sides","image","","","","","","","salad_old.jpg","salad_updated.jpg","Image analysis: Old image is a slightly blurry photo of fries in dim lighting. New image is a clear, well-lit photo of the same style of fries with better composition.","","","3.50","","reject","0.62","Image change detected for Pommes Frites. New image differs from original — rejecting pending manual review.","Image policy: Approve clear food photography matching the item. Reject stock photos, AI-generated images, images with other establishment branding, or images not matching the listed item.","approve","FALSE","1509","v1","2026-01-15T15:24:00Z","context_miss"
"CHG-050","R-1015","Durumcu Baba","Lamb Chops","Main","price","18.45","28.32","","","","","","","","","","18.50","53.1","reject","0.70","53% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","1905","v1","2026-01-15T15:27:00Z",""
"CHG-051","R-1022","Myeongdong Kyoja","Naan","Sides","description","","","Veggie wrap","Superfood wrap with quinoa, avocado, and activated charcoal tortilla","","","","","","","","3.00","","approve","0.95","Description enhancement. No misleading claims detected.","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file.","approve","TRUE","1331","v1","2026-01-15T15:30:00Z",""
"CHG-052","R-1022","Myeongdong Kyoja","Pad Thai","Main","price","11.43","13.68","","","","","","","","","","12.00","14.0","approve","0.92","14% above last verified price. Within policy bounds.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","TRUE","999","v1","2026-01-15T15:33:00Z",""
"CHG-053","R-1015","Durumcu Baba","Fish and Chips","Main","image","","","","","","","curry_photo.jpg","curry_hd_2025.jpg","","","","11.00","","approve","0.89","Higher resolution photo of same dish. Quality improvement.","Image policy: Approve clear food photography matching the item. Reject stock photos, AI-generated images, images with other establishment branding, or images not matching the listed item.","approve","TRUE","1636","v1","2026-01-15T15:36:00Z",""
"CHG-054","R-1016","Meshur Kofte","Bibimbap","Main","price","9.98","15.98","","","","","","","","","","10.50","52.2","reject","0.67","52% above last verified price. Exceeds policy threshold.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","TRUE","1210","v1","2026-01-15T15:39:00Z",""
"CHG-055","R-1026","Five Guys","Pho","Main","description","","","Chicken curry","Slow-simmered 24-hour chicken curry with hand-ground spice blend","","","","","","","","11.50","","approve","0.78","Description enhancement. No misleading claims detected.","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file.","approve","TRUE","1098","v1","2026-01-15T15:42:00Z",""
"CHG-056","R-1015","Durumcu Baba","Fried Chicken Box","Main","allergen_dietary","","","","","Vegetarian","Vegan","","","","","","8.50","","reject","0.58","Allergen change flagged for potential inconsistency.","Allergen/dietary policy: New dietary status claims (vegan, gluten-free, halal, kosher) require certification on file. Additions of allergen warnings (e.g., 'contains nuts') should be approved for safety. Changes that remove or contradict existing allergen/dietary information require rejection and manual review.","reject","TRUE","1883","v1","2026-01-15T15:45:00Z","price_error"
"CHG-057","R-1014","Bebek Balikci","Lobster Roll","Seafood","image","","","","","","","","sushi_set_photo.jpg","Image analysis: No previous image on file. New image is a clear photo of a lobster roll, matching the item name. No stock photo indicators.","","","18.00","","reject","0.54","New image uploaded for Lobster Roll. No previous image on file to compare — rejecting due to inability to verify consistency.","Image policy: Approve clear food photography matching the item. Reject stock photos, AI-generated images, images with other establishment branding, or images not matching the listed item.","approve","FALSE","1356","v1","2026-01-15T15:48:00Z","context_miss"
"CHG-058","R-1027","Imren Grill","Naan","Sides","price","3.00","3.40","","","","","","","","","","3.00","13.4","approve","0.89","13% above last verified price. Within policy bounds.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","TRUE","1330","v1","2026-01-15T15:51:00Z",""
"CHG-059","R-1009","Burgermeister","Chicken Biryani","Main","price","10.60","13.00","","","","","","","","","","11.00","18.2","approve","0.89","18% above last verified price. Within policy bounds.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","TRUE","981","v1","2026-01-15T15:54:00Z",""
"CHG-060","R-1014","Bebek Balikci","Fish and Chips","Main","price","10.52","15.32","","","","","","","","","","11.00","39.2","approve","0.47","Price increased 39% above last verified price. Reviewed pricing policy — within acceptable bounds. Approved.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","FALSE","1570","v1","2026-01-15T15:57:00Z","context_miss"
"CHG-061","R-1010","Risa Chicken","Butter Chicken","Main","price","12.92","18.87","","","","","","","","","","","46.1","approve","0.40","Price increased 46% above last verified price. Checked policy threshold — increase is within range. Approved.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","FALSE","909","v1","2026-01-15T18:00:00Z","policy_miss"
"CHG-062","R-1013","Ciya Sofrasi","Chicken Biryani","Main","description","","","Classic breaded veal schnitzel with fries","Premium hand-breaded veal schnitzel with truffle fries and organic garden salad","","","","","","","","11.00","","flag_for_review","0.89","Description contains premium claims that need verification.","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file.","reject","TRUE","1807","v1","2026-01-15T18:03:00Z",""
"CHG-063","R-1030","Korean BBQ House","Fried Chicken Box","Main","category","","","","","","","","","","Beverages","Extras","8.50","","approve","0.94","Category consolidation. Neutral change.","Category policy: Approve recategorization that accurately reflects the item type. No special restrictions.","approve","TRUE","905","v1","2026-01-15T18:06:00Z",""
"CHG-064","R-1003","Bosporus Grill","Naan","Sides","price","2.90","3.34","","","","","","","","","","","14.9","approve","0.83","15% above last verified price. Within policy bounds.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","TRUE","1541","v1","2026-01-15T18:09:00Z",""
"CHG-065","R-1025","Maple Tree House","Vegan Bowl","Main","price","10.85","11.19","","","","","","","","","","10.50","6.6","approve","0.72","7% above last verified price. Within policy bounds.","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","TRUE","956","v1","2026-01-15T18:12:00Z",""
