"test_case_id","run_id","model_version","change_type","item_name","change_description","context_provided","llm_decision","llm_confidence","ground_truth","is_correct"
"T-01","1","v1","price","Caesar Salad","Price: 9.50 -> 10.45 (10% increase above last verified 9.50)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","0.88","approve","TRUE"
"T-01","2","v1","price","Caesar Salad","Price: 9.50 -> 10.45 (10% increase above last verified 9.50)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","0.85","approve","TRUE"
"T-01","3","v1","price","Caesar Salad","Price: 9.50 -> 10.45 (10% increase above last verified 9.50)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","0.91","approve","TRUE"
"T-01","4","v1","price","Caesar Salad","Price: 9.50 -> 10.45 (10% increase above last verified 9.50)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","0.87","approve","TRUE"
"T-01","5","v1","price","Caesar Salad","Price: 9.50 -> 10.45 (10% increase above last verified 9.50)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","0.84","approve","TRUE"
"T-02","1","v1","price","Truffle Burger","Price: 12.00 -> 17.40 (45% increase above last verified 12.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.72","reject","TRUE"
"T-02","2","v1","price","Truffle Burger","Price: 12.00 -> 17.40 (45% increase above last verified 12.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.68","reject","TRUE"
"T-02","3","v1","price","Truffle Burger","Price: 12.00 -> 17.40 (45% increase above last verified 12.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.75","reject","TRUE"
"T-02","4","v1","price","Truffle Burger","Price: 12.00 -> 17.40 (45% increase above last verified 12.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","0.41","reject","FALSE"
"T-02","5","v1","price","Truffle Burger","Price: 12.00 -> 17.40 (45% increase above last verified 12.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.70","reject","TRUE"
"T-03","1","v1","price","Fish Tacos","Price: 8.00 -> 9.92 (24% increase above last verified 8.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.45","approve","FALSE"
"T-03","2","v1","price","Fish Tacos","Price: 8.00 -> 9.92 (24% increase above last verified 8.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","0.52","approve","TRUE"
"T-03","3","v1","price","Fish Tacos","Price: 8.00 -> 9.92 (24% increase above last verified 8.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.48","approve","FALSE"
"T-03","4","v1","price","Fish Tacos","Price: 8.00 -> 9.92 (24% increase above last verified 8.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","approve","0.50","approve","TRUE"
"T-03","5","v1","price","Fish Tacos","Price: 8.00 -> 9.92 (24% increase above last verified 8.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.46","approve","FALSE"
"T-04","1","v1","description","Margherita Pizza","Description: 'Cheese pizza with tomato sauce' -> 'Wood-fired margherita pizza with San Marzano tomato sauce and fresh mozzarella'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: Italian ingredient sourcing certificate on file (verified 2025-08).","approve","0.82","approve","TRUE"
"T-04","2","v1","description","Margherita Pizza","Description: 'Cheese pizza with tomato sauce' -> 'Wood-fired margherita pizza with San Marzano tomato sauce and fresh mozzarella'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: Italian ingredient sourcing certificate on file (verified 2025-08).","approve","0.79","approve","TRUE"
"T-04","3","v1","description","Margherita Pizza","Description: 'Cheese pizza with tomato sauce' -> 'Wood-fired margherita pizza with San Marzano tomato sauce and fresh mozzarella'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: Italian ingredient sourcing certificate on file (verified 2025-08).","approve","0.85","approve","TRUE"
"T-04","4","v1","description","Margherita Pizza","Description: 'Cheese pizza with tomato sauce' -> 'Wood-fired margherita pizza with San Marzano tomato sauce and fresh mozzarella'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: Italian ingredient sourcing certificate on file (verified 2025-08).","approve","0.80","approve","TRUE"
"T-04","5","v1","description","Margherita Pizza","Description: 'Cheese pizza with tomato sauce' -> 'Wood-fired margherita pizza with San Marzano tomato sauce and fresh mozzarella'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: Italian ingredient sourcing certificate on file (verified 2025-08).","approve","0.77","approve","TRUE"
"T-05","1","v1","description","Garden Salad","Description: 'Mixed green salad' -> 'Organic locally-sourced mixed greens with heirloom tomatoes'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: No organic or sourcing certifications on file for this restaurant.","approve","0.61","reject","FALSE"
"T-05","2","v1","description","Garden Salad","Description: 'Mixed green salad' -> 'Organic locally-sourced mixed greens with heirloom tomatoes'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: No organic or sourcing certifications on file for this restaurant.","approve","0.58","reject","FALSE"
"T-05","3","v1","description","Garden Salad","Description: 'Mixed green salad' -> 'Organic locally-sourced mixed greens with heirloom tomatoes'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: No organic or sourcing certifications on file for this restaurant.","reject","0.44","reject","TRUE"
"T-05","4","v1","description","Garden Salad","Description: 'Mixed green salad' -> 'Organic locally-sourced mixed greens with heirloom tomatoes'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: No organic or sourcing certifications on file for this restaurant.","approve","0.55","reject","FALSE"
"T-05","5","v1","description","Garden Salad","Description: 'Mixed green salad' -> 'Organic locally-sourced mixed greens with heirloom tomatoes'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: No organic or sourcing certifications on file for this restaurant.","approve","0.60","reject","FALSE"
"T-06","1","v1","allergen_dietary","Pad Thai","Allergen info: '' -> 'Contains: peanuts'","Allergen/dietary policy: New dietary status claims (vegan, gluten-free, halal, kosher) require certification on file. Additions of allergen warnings (e.g., 'contains nuts') should be approved for safety. Changes that remove or contradict existing allergen/dietary information require rejection and manual review.","approve","0.90","approve","TRUE"
"T-06","2","v1","allergen_dietary","Pad Thai","Allergen info: '' -> 'Contains: peanuts'","Allergen/dietary policy: New dietary status claims (vegan, gluten-free, halal, kosher) require certification on file. Additions of allergen warnings (e.g., 'contains nuts') should be approved for safety. Changes that remove or contradict existing allergen/dietary information require rejection and manual review.","approve","0.88","approve","TRUE"
"T-06","3","v1","allergen_dietary","Pad Thai","Allergen info: '' -> 'Contains: peanuts'","Allergen/dietary policy: New dietary status claims (vegan, gluten-free, halal, kosher) require certification on file. Additions of allergen warnings (e.g., 'contains nuts') should be approved for safety. Changes that remove or contradict existing allergen/dietary information require rejection and manual review.","approve","0.92","approve","TRUE"
"T-06","4","v1","allergen_dietary","Pad Thai","Allergen info: '' -> 'Contains: peanuts'","Allergen/dietary policy: New dietary status claims (vegan, gluten-free, halal, kosher) require certification on file. Additions of allergen warnings (e.g., 'contains nuts') should be approved for safety. Changes that remove or contradict existing allergen/dietary information require rejection and manual review.","approve","0.89","approve","TRUE"
"T-06","5","v1","allergen_dietary","Pad Thai","Allergen info: '' -> 'Contains: peanuts'","Allergen/dietary policy: New dietary status claims (vegan, gluten-free, halal, kosher) require certification on file. Additions of allergen warnings (e.g., 'contains nuts') should be approved for safety. Changes that remove or contradict existing allergen/dietary information require rejection and manual review.","approve","0.91","approve","TRUE"
"T-07","1","v1","allergen_dietary","Veggie Wrap","Dietary tags: '' -> 'Vegan, Plant-based'","Allergen/dietary policy: New dietary status claims (vegan, gluten-free, halal, kosher) require certification on file. Additions of allergen warnings (e.g., 'contains nuts') should be approved for safety. Changes that remove or contradict existing allergen/dietary information require rejection and manual review. Certification status: No vegan certification on file for this restaurant.","approve","0.55","reject","FALSE"
"T-07","2","v1","allergen_dietary","Veggie Wrap","Dietary tags: '' -> 'Vegan, Plant-based'","Allergen/dietary policy: New dietary status claims (vegan, gluten-free, halal, kosher) require certification on file. Additions of allergen warnings (e.g., 'contains nuts') should be approved for safety. Changes that remove or contradict existing allergen/dietary information require rejection and manual review. Certification status: No vegan certification on file for this restaurant.","approve","0.52","reject","FALSE"
"T-07","3","v1","allergen_dietary","Veggie Wrap","Dietary tags: '' -> 'Vegan, Plant-based'","Allergen/dietary policy: New dietary status claims (vegan, gluten-free, halal, kosher) require certification on file. Additions of allergen warnings (e.g., 'contains nuts') should be approved for safety. Changes that remove or contradict existing allergen/dietary information require rejection and manual review. Certification status: No vegan certification on file for this restaurant.","approve","0.48","reject","FALSE"
"T-07","4","v1","allergen_dietary","Veggie Wrap","Dietary tags: '' -> 'Vegan, Plant-based'","Allergen/dietary policy: New dietary status claims (vegan, gluten-free, halal, kosher) require certification on file. Additions of allergen warnings (e.g., 'contains nuts') should be approved for safety. Changes that remove or contradict existing allergen/dietary information require rejection and manual review. Certification status: No vegan certification on file for this restaurant.","approve","0.50","reject","FALSE"
"T-07","5","v1","allergen_dietary","Veggie Wrap","Dietary tags: '' -> 'Vegan, Plant-based'","Allergen/dietary policy: New dietary status claims (vegan, gluten-free, halal, kosher) require certification on file. Additions of allergen warnings (e.g., 'contains nuts') should be approved for safety. Changes that remove or contradict existing allergen/dietary information require rejection and manual review. Certification status: No vegan certification on file for this restaurant.","approve","0.53","reject","FALSE"
"T-08","1","v1","image","Chicken Wings","Image: casual phone photo -> professional food photography, same dish and plating style","Image policy: Approve clear food photography matching the item. Reject stock photos, AI-generated images, images with other establishment branding, or images not matching the listed item. Image analysis: New image is clear food photography of chicken wings. Matches item name. No stock photo indicators.","approve","0.70","approve","TRUE"
"T-08","2","v1","image","Chicken Wings","Image: casual phone photo -> professional food photography, same dish and plating style","Image policy: Approve clear food photography matching the item. Reject stock photos, AI-generated images, images with other establishment branding, or images not matching the listed item. Image analysis: New image is clear food photography of chicken wings. Matches item name. No stock photo indicators.","approve","0.72","approve","TRUE"
"T-08","3","v1","image","Chicken Wings","Image: casual phone photo -> professional food photography, same dish and plating style","Image policy: Approve clear food photography matching the item. Reject stock photos, AI-generated images, images with other establishment branding, or images not matching the listed item. Image analysis: New image is clear food photography of chicken wings. Matches item name. No stock photo indicators.","flag_for_review","0.40","approve","FALSE"
"T-08","4","v1","image","Chicken Wings","Image: casual phone photo -> professional food photography, same dish and plating style","Image policy: Approve clear food photography matching the item. Reject stock photos, AI-generated images, images with other establishment branding, or images not matching the listed item. Image analysis: New image is clear food photography of chicken wings. Matches item name. No stock photo indicators.","approve","0.68","approve","TRUE"
"T-08","5","v1","image","Chicken Wings","Image: casual phone photo -> professional food photography, same dish and plating style","Image policy: Approve clear food photography matching the item. Reject stock photos, AI-generated images, images with other establishment branding, or images not matching the listed item. Image analysis: New image is clear food photography of chicken wings. Matches item name. No stock photo indicators.","approve","0.71","approve","TRUE"
"T-09","1","v1","price","Lobster Roll","Price: 18.00 -> 27.00 (50% increase above last verified 18.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.82","reject","TRUE"
"T-09","2","v1","price","Lobster Roll","Price: 18.00 -> 27.00 (50% increase above last verified 18.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.79","reject","TRUE"
"T-09","3","v1","price","Lobster Roll","Price: 18.00 -> 27.00 (50% increase above last verified 18.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.85","reject","TRUE"
"T-09","4","v1","price","Lobster Roll","Price: 18.00 -> 27.00 (50% increase above last verified 18.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.80","reject","TRUE"
"T-09","5","v1","price","Lobster Roll","Price: 18.00 -> 27.00 (50% increase above last verified 18.00)","Pricing policy: Approve price increases up to 25% above last verified price. Reject increases above 25%.","reject","0.78","reject","TRUE"
"T-10","1","v1","description","Classic Burger","Description: 'Beef burger with cheese' -> 'Dry-aged wagyu beef burger with truffle aioli'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: No sourcing or premium ingredient certifications on file for this restaurant.","approve","0.57","reject","FALSE"
"T-10","2","v1","description","Classic Burger","Description: 'Beef burger with cheese' -> 'Dry-aged wagyu beef burger with truffle aioli'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: No sourcing or premium ingredient certifications on file for this restaurant.","reject","0.43","reject","TRUE"
"T-10","3","v1","description","Classic Burger","Description: 'Beef burger with cheese' -> 'Dry-aged wagyu beef burger with truffle aioli'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: No sourcing or premium ingredient certifications on file for this restaurant.","approve","0.54","reject","FALSE"
"T-10","4","v1","description","Classic Burger","Description: 'Beef burger with cheese' -> 'Dry-aged wagyu beef burger with truffle aioli'","Description policy: Approve factual corrections and descriptive enhancements. Reject changes that add unverifiable sourcing claims (e.g., 'organic', 'free-range', 'wagyu') or origin claims (e.g., 'Japanese', 'Norwegian') unless certification is on file. Certification status: No sourcing or premium ingredient certifications on file for this restaurant.","approve","0.51","reject","FALSE"
